,0,1,2,3,4
38,969,高区景观无遮挡 朝南小三房 满五唯一税费低 拎包入住,浦东,单价99681元/平米,1280
39,970,高区，大面宽享受，从未住过人次新房，浦明路一线滨江,浦东,单价93131元/平米,2195
40,971,繁华地段朝南三房，板式南北通采光好。,浦东,单价117781元/平米,2290
41,972,15年新装修的三房，装修好、保养好、税费低,浦东,单价80814元/平米,930
42,973,16年底新装小三房，可满五唯一交易，保养好拎包入住,浦东,单价93125元/平米,1219
43,974,观景双露台+顶楼复式+满五唯一+06年次新房+地铁6号线,浦东,单价82063元/平米,1480
44,975,1190的三房，联洋热推，有地下车位，人车分流，诚意,浦东,单价94512元/平米,1190
45,976,陆家嘴高区3房+西南看江景，采光棒,浦东,单价95096元/平米,1235
46,977,沃尔玛隔壁，房型方正，通风效果好，小区绿化高,浦东,单价25770元/平米,195
47,978,财富海景前排中区大宅，景色无遮挡，境外业主诚意出售,浦东,单价132361元/平米,4500
48,979,地铁9蓝天路站，电梯房高区。三个房间朝南，全明户型,浦东,单价49170元/平米,500
49,980,南北通透，满二大三房，出行方便采光好，配套成熟,浦东,单价26108元/平米,330
50,981,"此房是两南房一北房,采光好， 户型方正，诚心出售",浦东,单价25985元/平米,330
51,982,业主自己住，看房子提前联系，开发商统一精装修,浦东,单价74331元/平米,666
52,983,中邦城市、品质小区、正气三房户型、有钥匙、看房便利,浦东,单价45782元/平米,605
53,984,独栋 花园相伴 视野无遮挡 采光通风好,浦东,单价65643元/平米,359
54,985,地铁口一房+户型方正+满五年少税+价格可谈+有钥匙,浦东,单价52385元/平米,245
55,986,大三房，下沉式客厅，带超大花园，位置安静，随时看,浦东,单价99857元/平米,1735
56,987,地铁大四房 楼层位置佳 采光通透好  业主诚意卖,浦东,单价34733元/平米,455
57,988,金桥花苑正气两房，双天井，简约自住装修，诚意出售！,浦东,单价62776元/平米,385
58,989,香山西南 非顶楼 看房随时 双南户型 诚意出售,浦东,单价50498元/平米,335
59,990,小区税很少的房子，  全明户型，楼层啊位置啊，都不错,浦东,单价54981元/平米,510
60,991,新德三村总价低，小户型，诚心出售，好房子好漂亮,浦东,单价33954元/平米,155
61,992,瀚龙苑 户型方正  诚意出售 交通便利,浦东,单价43422元/平米,330
62,993,小区央位，靠河高楼层，视野风景好,浦东,单价45959元/平米,315
63,994,伴你过暖冬 满五唯一 楼层位置佳 陪伴你的日常生活,浦东,单价45835元/平米,285
64,995,御沁园精装修大三房，东边套卧室有转角大飘窗，采光好,浦东,单价47293元/平米,690
65,996,满五唯一，电梯景观房，精装修，南北通，通风好,浦东,单价36396元/平米,395
66,997,产权清晰 满五年，看房方便 小区位置 视野辽阔无遮挡,浦东,单价98477元/平米,375
67,998,自住装修，满五唯一。小区中间位置，中间楼层,浦东,单价39405元/平米,529
68,999,此房满5年税少，楼层好，采光充足，交通9号线方便,浦东,单价76914元/平米,1195
69,1000,纯毛坯房+不靠马路+靠世纪公园+有钥匙,浦东,单价57693元/平米,600
70,1001,全明户型，2路带一个小露台，边套采光好,浦东,单价41778元/平米,188
71,1002,商品房，采光好，面积大，总价低，四世同堂，阳光普照,浦东,单价19653元/平米,320
72,1003,10年次新小区+电梯高区近6号线+一梯一户+65平露台,浦东,单价68049元/平米,650
73,1004,西北新村小两房户型，总价低。房东诚心出售,浦东,单价25199元/平米,130
74,1005,海桐带阁楼露台高利用率五房满足三代人居住,浦东,单价66733元/平米,950
75,1006,上南花城的飞机户型，小高层电梯房。,浦东,单价71776元/平米,960
76,1007,精装大两房，楼层佳采光好，得房率高,浦东,单价60440元/平米,550
77,1008,阳光花城精装自住，高楼层采光好保养好，拎包入住！,浦东,单价63211元/平米,728
78,1009,正气户型板式带阁楼，自住装修保养好，价格可谈！,浦东,单价66750元/平米,749
79,1010,毛坯两房 厅里有两窗户 位置好 前面有绿化 低楼层,浦东,单价23718元/平米,185
80,1011,近14号线+税少+位置好+业主诚心出售,浦东,单价46066元/平米,233
81,1012,钥匙房，随时看房，一个点个税，近地铁9号线。,浦东,单价46785元/平米,275
82,1013,顶楼阁楼，地铁12号线200米，卜蜂莲花超市600米,浦东,单价55445元/平米,250
83,1014,高区、满两年税少、有地暖、有车位,浦东,单价91839元/平米,1680
84,1015,精装两房总价低，户型南北通，满五年,浦东,单价41557元/平米,407
85,1016,世茂大两房，高区景观房，随时可看，少税节约成本,浦东,单价102191元/平米,1698
86,1017,两房两卫户型，采光好，税费低，位置好，仅此一套,浦东,单价42533元/平米,432
87,1018,惠益新苑南苑 南北户型 惠益新苑 方正户型,浦东,单价23027元/平米,182
88,1019,沈默花苑 3室2厅 580万,浦东,单价43920元/平米,580
89,1020,南北通户型，采光通风好，视野开阔，业主诚意,浦东,单价96481元/平米,455
90,1021,位置安静+两卫+7号线+13号线+置换急售+房型设计好,浦东,单价50229元/平米,440
91,1022,南北全明大两房，客厅朝南带阳台，满五唯一，看房方便,浦东,单价54779元/平米,470
92,1023,三林安居苑，带阁楼，带露台，使用面积大于产证面积,浦东,单价56809元/平米,325
93,1024,精装修+有钥匙+南北全明通透户型+税费低随时看,浦东,单价58695元/平米,400
94,1025,G户型大两房，住起来通透舒服，看一线黄浦江景,浦东,单价90620元/平米,1420
95,1026,世博板块，电梯高区，近7号线杨高南路地铁,浦东,单价45093元/平米,300
96,1027,精装修，户型正气，次顶楼，通风采光充足，双轨7+13,浦东,单价65072元/平米,870
97,1028,东城新村03年房龄+满五唯一税费少+精装自住保养好,浦东,单价64357元/平米,650
98,1029,房东城心出售，现在空关，看房子提前约,浦东,单价55613元/平米,760
99,1030,住宅产权，诚意出售，视野开阔，朝南，全明户型,浦东,单价52013元/平米,880
100,1031,满五唯一，诚心出售，看房方便，采光极好！！！,浦东,单价83603元/平米,570
101,1032,精装修.健身楼层.近地铁.房东诚意卖.,浦东,单价54164元/平米,415
102,1033,中环内+2000年商品房+中间楼层+诚意出售,浦东,单价57559元/平米,680
103,1034,6号线地铁口，满五唯一，税费少，精装2房，业主急售,浦东,单价55837元/平米,409
104,1035,高区景观（第六师范）业主置换诚售+近6号9号线,浦东,单价69087元/平米,1020
105,1036,置换急售，满2年 省税房源，看中再谈，看房方便！,浦东,单价30811元/平米,309
106,1037,南北通两房 采光好  业主诚意出售 看房方便,浦东,单价40354元/平米,315
107,1038,业主底价出售，置换新房已买好，欢迎诚意客户看房,浦东,单价63716元/平米,655
108,1039,玉兰小区 双南大二房 装修刚2年 可拎包入住！！,浦东,单价47217元/平米,363
109,1040,泉东小区 南北两房 看房随时 世纪大道2469号地铁 诚售,浦东,单价100263元/平米,497
110,1041,震惊，税费一点点，高区景观房，诚意卖，赶紧联系我,浦东,单价95265元/平米,1050
111,1042,带大花园，南北通透大三房，诚意出售，看房方便！,浦东,单价68662元/平米,920
112,1043,陆家嘴板块带地暖的公寓房、小区安静、中间楼层,浦东,单价56441元/平米,620
113,1044,东站边精装修 大三房 随时看无论是自住还是都是不错,浦东,单价26400元/平米,275
114,1045,紧靠后滩世博源，电梯高层，耀华路长清路双地铁三房,浦东,单价79544元/平米,1200
115,1046,龚华新村南北户型，两房的价格买三房  全明户型,浦东,单价30124元/平米,265
116,1047,紧靠后滩世博源，高层电梯房，耀华路长清路双地铁三房,浦东,单价72322元/平米,995
117,1048,满五年唯一，税少，房东自住保养得好。,浦东,单价48247元/平米,458
118,1049,小区安静位置，户型方正，业主诚意出售，小区绿化55%,浦东,单价83713元/平米,1050
119,1050,一手动迁，满五唯一，楼层好，位置好，诚意出售,浦东,单价49900元/平米,398
120,1051,地铁4 6号线蓝村路站，4楼东边套，婚房装修，房龄新,浦东,单价64458元/平米,282
121,1052,周浦镇上，三房带阁楼，户型正气,浦东,单价31628元/平米,275
122,1053,建平电梯中高楼层 精装修 满五唯一税费低 诚心急售,浦东,单价60495元/平米,460
123,1054,六楼带阁楼，24小时看房，满五唯一税费少，价钱可谈,浦东,单价48673元/平米,550
124,1055,近地铁，中环以内，配套成熟，2010年的小区房龄新,浦东,单价52871元/平米,350
125,1056,地铁9号线+地铁14号线+中内环电梯房+动迁+碧云公园,浦东,单价46338元/平米,334
126,1057,钥匙房，看房方便；房改售房税费少 诚意出售,浦东,单价105264元/平米,450
127,1058,顶楼带阁楼，精装修，交通便利，配套设施齐全,浦东,单价26332元/平米,360
128,1059,地铁100米，电梯楼，中等楼层，户型方正,浦东,单价41453元/平米,580
129,1060,广洋苑，低楼层，采光良好，小区中间，位置安静,浦东,单价89580元/平米,680
130,1061,此房商品房大两房户型南北通，满两年业主诚意出售，,浦东,单价25925元/平米,223
131,1062,非顶楼，南北一房，看房有钥匙，满五年产权清晰,浦东,单价46741元/平米,223
132,1063,晶波坊 2室1厅 280万,浦东,单价45655元/平米,280
133,1064,南北通+中位置+地铁口小区+精装直接入住+商圈成熟,浦东,单价75241元/平米,695
134,1065,一室一厅，楼层好，一梯两户，总价便宜。,浦东,单价38072元/平米,180
135,1066,刚需18号线商品房，毛坯房可随心装修，中间楼层采光足,浦东,单价32415元/平米,240
136,1067,上南二村 南北两房 浦东世博园 看房有钥匙 诚售,浦东,单价63171元/平米,318
137,1068,位置好，南北通二房，户型正气，看房方便,浦东,单价56913元/平米,419.9
138,1069,房子满五年，商品房南北通户型，看房随时 一梯两户,浦东,单价75651元/平米,750
139,1070,三林印象城，位置号，中间楼层，紧俏边套全明户型，,浦东,单价44799元/平米,500
140,1071,嘉宝央企开发，中环内临河次新房叠墅；看房有钥匙,浦东,单价98931元/平米,1850
141,1072,满五唯一税费少！单价低总价也低！房东诚意出售！,浦东,单价35387元/平米,420
142,1073,浦发博园(公寓) 3室2厅 728万,浦东,单价55320元/平米,728
143,1074,远离高架，小区中间位置，带车位，业主诚意出售,浦东,单价66180元/平米,950
144,1075,一手动迁 带阁楼 环境优美 交通便利,浦东,单价35619元/平米,450
145,1076,双南大户型，客厅明亮临地铁-高区，通风采光好,浦东,单价45082元/平米,390
146,1077,满5年，电梯房，双南户型，配套齐，双轨交7/13号线,浦东,单价71866元/平米,940
147,1078,地段好，近万达，房型好，复式复式，带露台有钥匙钥匙,浦东,单价42845元/平米,520
148,1079,满五年唯一免个税+9号线+随时看房+置换业主急卖,浦东,单价88135元/平米,999
149,1080,钥匙房一梯两户房型正气产权清晰双南户型配套齐全诚售,浦东,单价45879元/平米,315
150,1081,中环内南北大两房＋店长推荐+阁楼已做＋诚意出售,浦东,单价45135元/平米,385
151,1082,一手动迁，精装修，采光好，好看房，诚心卖价可谈。,浦东,单价79390元/平米,520
152,1083,南北通，中层楼，满五唯一，楼层好，交通便利,浦东,单价58420元/平米,298
153,1084,聚焦房，热门三房户型，人车分流，老客户房子诚心卖,浦东,单价47664元/平米,615
154,1085,满五唯一  业主诚意出售  中间楼层  看房方便,浦东,单价49181元/平米,243
155,1086,链家主推！下套必卖 业主诚意 一梯一户 随时见面签字,浦东,单价106634元/平米,3890
156,1087,东荷小区：业主这边只有一个点个税，产权干净,浦东,单价44433元/平米,330
157,1088,仁恒前排高区江景房，三面通风，看江无遮挡，产调干净,浦东,单价104150元/平米,1250
158,1089,阳光城市家园，新出南北通户型，中间楼层看房有钥匙,浦东,单价55195元/平米,450
159,1090,"文化新村,房子南北通透，房东诚意出售。",浦东,单价23556元/平米,210
160,1091,南北通风大两房，出行方便地铁口，配套成熟房龄新,浦东,单价42841元/平米,339
161,1092,会所旁带地暖，满五唯一有车位，三南一北，高区景观,浦东,单价108636元/平米,2150
162,1093,盛大方正3房，业主诚意卖房，目前此户型总价便宜,浦东,单价103595元/平米,2130
163,1094,婚房装修，一梯两户，全明户型，南北通。小区位置好,浦东,单价50517元/平米,225
164,1095,店长强烈推荐，满五唯一，小区中间位置，电梯高层,浦东,单价46980元/平米,287
165,1096,150万入住内环边，你还在等什么,浦东,单价50779元/平米,150
166,1097,2年婚房装修》总高4楼的4楼/一梯三户/专享房源,浦东,单价55945元/平米,208
167,1098,专线委托房，内环联排别墅，可用250左右，满五惟一,浦东,单价73767元/平米,1100
168,1099,内环内品质一房+满五年唯一+中楼层南北采光佳,浦东,单价103404元/平米,483
169,1100,仁恒唯一在售边套下叠别墅，私家电梯，大花园，游泳池,浦东,单价50207元/平米,2800
170,1101,近地铁，南北通，边套全明，楼层好，房龄新,浦东,单价58627元/平米,385
171,1102,2013年次新房，总高14层电梯房，带阳台 位置不靠路,浦东,单价45384元/平米,349
172,1103,经典双南户型，厨卫宽敞，一手动迁满五唯一税费划算,浦东,单价49033元/平米,306.6
173,1104,05年品质小区，2房改3房，位置楼层佳，拎包入住！,浦东,单价61545元/平米,580
174,1105,急卖，非顶楼好房商场地铁交通方便，动迁全明户型,浦东,单价45891元/平米,196
175,1106,此房满五年唯一，小区位置安静，精装修。,浦东,单价65969元/平米,756
176,1107,此房满五唯一 南北户型 业主诚意出售 采光无限好,浦东,单价76826元/平米,850
177,1108,仁恒森兰雅苑(二期) 5室3厅 1900万,浦东,单价67558元/平米,1900
178,1109,此房满五唯一，位置合适，楼层好，视野宽阔，出行便捷,浦东,单价47836元/平米,242
179,1110,德州七村  精装两房一厅  天井也做了一房,浦东,单价48820元/平米,275
180,1111,绿地崴廉南北大两房，中区楼层，视野采光好！不靠路！,浦东,单价53286元/平米,510
181,1112,新风系统加地暖 崭新装修从未住过 满五唯一无个税,浦东,单价55840元/平米,580
182,1113,小区花园位置，朝南边套全明一房，房东诚意出售,浦东,单价99084元/平米,400
183,1114,东方城市绿洲很少的四房小区临河位置精装修拎包入住,浦东,单价43919元/平米,720
184,1115,带产权车位，满五唯一税费少，电梯高区，视野采光棒,浦东,单价97965元/平米,1150
185,1116,世茂滨江，高区景观三房，看江无遮挡,浦东,单价108725元/平米,2450
186,1117,小区面湖位置，南北通四房，朝南三房湖景！,浦东,单价53704元/平米,870
187,1118,无个税，高区景观，正气四房，看房方便，南北直通！,浦东,单价99665元/平米,2110
188,1119,内环内商品房，朝南大客厅落地窗，俯瞰张家浜河景,浦东,单价63128元/平米,748
189,1120,赞！前拥美式冲浪沙滩！后赏中式园林！前后视野开阔！,浦东,单价82426元/平米,1370
190,1121,客餐分离看江看外滩，满五税少，高品质住宅值得拥有,浦东,单价109544元/平米,2780
191,1122,新挂牌+保养好+户型通透+价格好谈+有钥匙,浦东,单价87841元/平米,2090
192,1123,一手动迁 税费少 南北通 视野好 随时可看 有钥匙,浦东,单价24265元/平米,193
193,1124,自住婚房精装修  高楼层采光佳  随时可看的品质住宅,浦东,单价53630元/平米,690
194,1125,满五年不唯一 南北通两房 简单装修 无增税 随时看房,浦东,单价43550元/平米,320
195,1126,诚意出售 内环电梯别墅 无噪音 安静 看房随时满五唯一,浦东,单价73227元/平米,1280
196,1127,印象春城 A1南北通 满五唯一 税费少 中间楼层 拎包住,浦东,单价49439元/平米,440
197,1128,满五年+精装修+大两房+交通方便,浦东,单价69093元/平米,545
198,1129,精装3室，全明户型方正，宽阔双厅，满五年唯一无个税,浦东,单价79104元/平米,1150
199,1130,中间位置大平层带产权车位，楼层低但四开间朝南采光好,浦东,单价92411元/平米,1818
200,1131,尚东国际+双卧客厅朝南+精装修三房+中间位置+大阳台,浦东,单价79835元/平米,1080
201,1132,诚售！世纪公园全景房 空中别墅 大四房 免个税随时看,浦东,单价87328元/平米,1700
202,1133,动静分离+免增值税+业主自住+一梯两户+不临街,浦东,单价49408元/平米,488
203,1134,妙栏小区三房出售带阁楼利用面积大，配套齐全。,浦东,单价39303元/平米,345
204,1135,仁恒朝西看江户型，诚意出售，满五税少,浦东,单价89889元/平米,1490
205,1136,自住装修，一线江景。满五唯一，看房方便,浦东,单价71827元/平米,1560
206,1137,满五唯一 飞机户型  南北通 双阳台 精装 可拎包入住,浦东,单价52222元/平米,750
207,1138,近地铁，后排位置，一手买进，精装大三房，安静宜居,浦东,单价83792元/平米,1220
208,1139,两南一北，户型方正，通风好，精装修，附带两个天井,浦东,单价56977元/平米,470
209,1140,2007年一手动迁满五年唯一，可做小两房，诚意出售,浦东,单价42728元/平米,240
210,1141,和憬家园，09年商品房，满五年，户型方正，环境优美,浦东,单价42936元/平米,376.8
211,1142,周浦镇繁华地段，诚意出售，看房方便，楼层好，位置好,浦东,单价39279元/平米,320
212,1143,正对英式大草坪，郁郁葱葱好养眼，细心保养好房,浦东,单价107106元/平米,1450
213,1144,博佳花园、满五唯一、南北通精装，置换诚售，随时看,浦东,单价25943元/平米,245
214,1145,温馨精装，通透户型，视野开阔，拎包入住，看房方便,浦东,单价45082元/平米,280
215,1146,满5唯一、随时可看、采光好不临街、视野开阔、近地铁,浦东,单价31805元/平米,360
216,1147,总价低，采光好，交通方便，诚意出售,浦东,单价66048元/平米,448
217,1148,采光好，户型好，近地铁，税费少，装修好，总价低,浦东,单价34809元/平米,280
218,1149,地铁12号6号线，满五年唯一中楼层全明南北通透，原2卫,浦东,单价45919元/平米,459
219,1150,可拎包入住的精装修两房，位置好楼层佳。,浦东,单价55951元/平米,519
220,1151,在小区位置好，楼层好，精装修拎包住，满2年税费少,浦东,单价52352元/平米,285
221,1152,满五不唯一，诚心出售，自住随时可看，采光通风好,浦东,单价45543元/平米,235
222,1153,瑞士花园经典一房 中间楼层 刷卡到户 出租自住两相宜,浦东,单价101734元/平米,845
223,1154,双南两房 全明户型 近地铁 中间楼层 居家装修,浦东,单价52848元/平米,400
224,1155,2楼带露台，小区中间不靠路，税少，看房联系维护人,浦东,单价42868元/平米,235
225,1156,新上-位置安静-双南户型-楼间距开阔-装修保养好,浦东,单价89129元/平米,596
226,1157,满五唯一 方正好房 带院子 待售不容错过,浦东,单价41540元/平米,505
227,1158,此房为满五不唯一的售后公房，南北两房，税费少,浦东,单价52738元/平米,340
228,1159,置换急卖，自住保养好，楼层好，位置好，采光足,浦东,单价49335元/平米,430
229,1160,舒馨北苑 满五年唯一省税 一房两厅 钥匙房随时看,浦东,单价42016元/平米,236
230,1161,接受半年以上置换，坐北朝南，视野开阔，临水景观好,浦东,单价74768元/平米,1700
231,1162,急售，婚房精装，保养很好，干净整洁，可以直接入住,浦东,单价50011元/平米,230
232,1163,业主重新装修。中区看江景。满两年税费少，价格可谈,浦东,单价95417元/平米,1249
233,1164,高关注度好房，众望所归的：省钱、省心！业主诚意急卖,浦东,单价38500元/平米,275
234,1165,钥匙房，中间楼层，边套电梯，品质小区,浦东,单价89107元/平米,845
235,1166,博佳精装电梯三房 可拎包入住 诚意出售，看房有钥匙,浦东,单价25398元/平米,310
236,1167,动迁房两房，无增值税，一个点的个税，看房随时,浦东,单价80724元/平米,580
237,1168,2+1房型看房有钥匙诚意出售带阁楼近7/13号线长清站,浦东,单价64880元/平米,760
238,1169,房东急卖    低于市场价格   有钥匙随时看房,浦东,单价38136元/平米,450
239,1170,海尚康庭精装大三房，满五年不唯一，户型采光好,浦东,单价38686元/平米,385
240,1171,仁恒森兰雅苑4房诚意出售，中区，接受长期置换客户,浦东,单价74194元/平米,1380
241,1172,精装欧式风格整屋空调带地暖业主诚意出售有钥匙可看房,浦东,单价66736元/平米,1420
242,1173,一手动迁，满五唯一，带阁楼使用面积大,浦东,单价52324元/平米,500
243,1174,小区位置好，不靠马路不靠高压线，带花园，看房方便,浦东,单价58964元/平米,470
244,1175,博捷名苑婚房精装修，南北户型2室,浦东,单价49654元/平米,480
245,1176,仁恒二期央座，经典大四房，保养如新，满两年诚心卖,浦东,单价74057元/平米,1570
246,1177,一手动迁，满二唯一，一南一北两房，全明户型，随时看,浦东,单价45971元/平米,385
247,1178,精装三房改两房两厅品质家居小区央位 看房提前约 诚售,浦东,单价49742元/平米,365
248,1179,不靠马路+看小区大片绿化、水景+一梯一户，私密性好,浦东,单价113197元/平米,1683
249,1180,免征个税 单价7.6万 明厨明卫 南北直通 户型方正,浦东,单价76412元/平米,920
250,1181,满五唯一，诚意出售，价格可谈，自住看房方便,浦东,单价68487元/平米,705
251,1182,02年小区 华为 太茂 通用 次新房,浦东,单价48882元/平米,498
252,1183,推荐 中环旁 南北通 大两房 满五唯一 精装修全明户型,浦东,单价35972元/平米,345
253,1184,临港新片区 荷风景庭 电梯房 户型方正 诚意出售！,浦东,单价18643元/平米,195
254,1185,高区边套采光无遮挡，精装修中空调，居家装修保养好,浦东,单价85861元/平米,940
255,1186,近地铁 满5唯一 南北通透 房型正气 看房方便,浦东,单价58810元/平米,718
256,1187,东方冠郡 2室2厅 268万,浦东,单价28818元/平米,268
257,1188,东园电梯小两房，满五唯一少税，近地铁,浦东,单价72112元/平米,490
258,1189,紧靠前滩  地铁6.8.11号线  满五唯一  带天井,浦东,单价45742元/平米,333
259,1190,南北通正气三房，随时可看，诚意出售，价格可谈！,浦东,单价89768元/平米,1230
260,1191,南北通电梯三房 精装修 楼层好 采光充足,浦东,单价65825元/平米,808
261,1192,世纪公园旁，小区央座安静，满五唯一税少，保养好,浦东,单价85926元/平米,1080
262,1193,楼下就是地铁9号线+满五年税费少+诚意卖+看房方便,浦东,单价49564元/平米,500
263,1194,二期带天然气，公园景观房，可观陆家嘴CBD,浦东,单价68327元/平米,450
264,1195,9号线金桥站，南北正两室，一梯两户，5层，带阁楼,浦东,单价50762元/平米,410
265,1196,培花久远公寓 2室1厅 348万,浦东,单价52760元/平米,348
266,1197,证大五期电梯房大三房，户型正气，楼层好视野佳舒适,浦东,单价74341元/平米,890
267,1198,上海绿城三期，两梯两户，满五唯一，视野开阔看房方便,浦东,单价93767元/平米,1280
268,1199,满五唯一，一梯两户，双南户型，南北通，诚意出售,浦东,单价48993元/平米,350
269,1200,繁荣昌盛，楼层佳，采光好，满五，随时看,浦东,单价82910元/平米,685
270,1201,采光充足，户型方正，交通便利，小区配套齐全,浦东,单价28925元/平米,400
271,1202,金桥新城 华为通用 九号线金桥站 近世纪大道 三房,浦东,单价59408元/平米,778
272,1203,汇锦城(一期) 4室2厅 485万,浦东,单价27348元/平米,485
273,1204,卧室空间大 使用率高 单价低 价格实惠,浦东,单价59702元/平米,1200
274,1205,位置靠江向丨不用担心有其他楼的遮挡丨客厅+两卧室南,浦东,单价183138元/平米,5200
275,1206,有产权车位    小区央座  2013年次新房    温馨舒适,浦东,单价48990元/平米,475
276,1207,南北两房边套带窗，全明户型，满五唯一，看房方便,浦东,单价49650元/平米,255
277,1208,二手买进，南北户型，采光好，离地铁口827米，近中环,浦东,单价51149元/平米,372
278,1209,一手动迁  满五年 唯一  楼层佳 看房随时,浦东,单价48595元/平米,324.9
279,1210,板式南北通 一梯两户全明 小区央位 自住精装接受置换,浦东,单价48709元/平米,430
280,1211,联城花苑 2室1厅 460万,浦东,单价53852元/平米,460
281,1212,户型正气  业主诚意出售  交通便利,浦东,单价47580元/平米,458
282,1213,鑫通公寓 惠南镇城芯 大三室 带车库 看房有钥匙,浦东,单价19441元/平米,275
283,1214,绿川公寓 3室2厅 490万,浦东,单价47357元/平米,490
284,1215,一手动迁，税收少，小区位置好，采光佳，业主诚意出售,浦东,单价46615元/平米,349
285,1216,济阳稀有双南小两房，业主诚意出售，采光好。,浦东,单价50433元/平米,245
286,1217,华汇公寓，中间楼层，采光好，满五唯一，随时可看房,浦东,单价24354元/平米,358
287,1218,采光好+诚意出售+看房方便+近地铁,浦东,单价42858元/平米,360
288,1219,满五唯一 南北两房 三楼 配套齐全,浦东,单价53994元/平米,290
289,1220,世博电梯一房视野广阔采光明亮满五唯一,浦东,单价52786元/平米,270
290,1221,此房诚售，东三好位置，带天井，精装价可谈，随时看,浦东,单价87333元/平米,455
291,1222,满五唯一，南北通，采光好，价格比较优惠,浦东,单价44657元/平米,285
292,1223,沙发上，地铁上，说看房，就看房！,浦东,单价53517元/平米,315
293,1224,周东二村，楼层好，有钥匙 产权清晰 满五年 税费少,浦东,单价33545元/平米,265
294,1225,南八创欣公寓大三房 房东诚意出售,浦东,单价32210元/平米,405
295,1226,开发商统一装修标准，有车位另算， 带地暖 拎包入住,浦东,单价55770元/平米,725
296,1227,自住两房，高楼层，视野佳，三开间朝南，诚意出售,浦东,单价76751元/平米,615
297,1228,高楼层 看房随时 南北通 大飘窗 近菜场 交通便 好房,浦东,单价53933元/平米,480
298,1229,中虹佳园，一楼方便老人小孩出行，满五唯一，税少,浦东,单价32543元/平米,340
299,1230,内环内精装复式大四房 、满五唯一、看房方便的。,浦东,单价97238元/平米,792
300,1231,内环内 94年房龄 满五不唯一 总价低 近歇浦路站,浦东,单价52318元/平米,193
